date,state,fips,positive,totalTestResults,hospitalizedCurrently,inIcuCurrently,onVentilatorCurrently,death
20210307,NY,36,1681169,39695100,4789,999,682,39029
20210306,NY,36,1674380,39467332,4954,1012,694,38970
20210305,NY,36,1666733,39194200,5034,1030,700,38891
20210304,NY,36,1657777,38897265,5177,1043,712,38796
20210303,NY,36,1650184,38627176,5323,1047,735,38735
20210302,NY,36,1642480,38409107,5369,1076,747,38660
20210301,NY,36,1636680,38281073,5307,1065,741,38577
20210228,NY,36,1630445,38106915,5259,1083,728,38497
20210227,NY,36,1622865,37833195,5445,1121,753,38407
20210226,NY,36,1614724,37547888,5626,1132,771,38321
20210225,NY,36,1606520,37256699,5703,1124,774,38227
20210224,NY,36,1597774,36977757,5876,1154,800,38135
20210223,NY,36,1591585,36760944,5977,1176,799,38031
20210222,NY,36,1584931,36603611,5804,1148,780,37941
20210221,NY,36,1578785,36461592,5764,1162,794,37851
20210220,NY,36,1572175,36240435,5977,1162,801,37776
20210219,NY,36,1564483,35988790,6155,1199,834,37675
20210218,NY,36,1555773,35739542,6434,1258,863,37556
20210217,NY,36,1548979,35523811,6574,1273,854,37440
20210216,NY,36,1542887,35353848,6620,1271,878,37328
20210215,NY,36,1536134,35217456,6623,1270,875,37221
20210214,NY,36,1529769,35036952,6593,1285,881,37118
20210213,NY,36,1521453,34802244,6888,1328,908,37009
20210212,NY,36,1512690,34548681,7068,1358,941,36882
20210211,NY,36,1504286,34311547,7342,1402,941,36743
20210210,NY,36,1494187,34026048,7593,1423,955,36619
20210209,NY,36,1487086,33849298,7875,1412,971,36481
20210208,NY,36,1479220,33695650,7716,1454,961,36339
20210207,NY,36,1470772,33498467,7649,1459,979,36224
20210206,NY,36,1460747,33247575,7804,1481,995,36079
20210205,NY,36,1449495,32986290,7937,1516,1000,35920
20210204,NY,36,1440718,32782663,7967,1506,986,35767
20210203,NY,36,1433304,32613477,8082,1522,1003,35631
20210202,NY,36,1427379,32486988,8067,1503,1004,35466
20210201,NY,36,1419164,32336789,8003,1500,987,35319
20210131,NY,36,1410656,32161751,7976,1534,1008,35178
20210130,NY,36,1399863,31918685,8176,1551,1017,35036
20210129,NY,36,1387059,31649335,8357,1543,1012,34893
20210128,NY,36,1374480,31378817,8520,1584,1024,34742
20210127,NY,36,1361082,31128149,8771,1558,1027,34579
20210126,NY,36,1350054,30925488,8831,1544,1006,34407
20210125,NY,36,1338990,30762550,8730,1522,1005,34242
20210124,NY,36,1326987,30543012,8613,1527,997,34069
20210123,NY,36,1314267,30293057,8802,1562,1023,33907
20210122,NY,36,1300481,30030951,8846,1546,992,33763
20210121,NY,36,1285337,29762950,9055,1560,1011,33594
20210120,NY,36,1271451,29538381,9273,1621,1044,33415
20210119,NY,36,1258087,29342972,9236,1614,1049,33224
20210118,NY,36,1245575,29165703,8868,1523,997,33052
20210117,NY,36,1233390,28979498,8771,1550,1004,32897
20210116,NY,36,1219548,28732991,8888,1580,983,32725
20210115,NY,36,1203550,28455705,8808,1570,962,32566
20210114,NY,36,1183608,28131034,8823,1536,956,32379
20210113,NY,36,1169947,27918445,8929,1501,924,32175
20210112,NY,36,1155370,27721577,8926,1492,909,32007
20210111,NY,36,1140156,27524906,8645,1426,891,31841
20210110,NY,36,1126442,27321002,8484,1436,892,31672
20210109,NY,36,1111087,27074166,8527,1428,876,31519
20210108,NY,36,1094144,26816135,8561,1475,912,31329
20210107,NY,36,1075312,26572232,8548,1424,859,31164
20210106,NY,36,1057676,26333682,8665,1408,851,30965
20210105,NY,36,1041028,26135866,8590,1392,851,30802
20210104,NY,36,1028362,25983464,8251,1357,843,30648
20210103,NY,36,1017153,25849104,7963,1344,815,30476
20210102,NY,36,1005785,25706759,7814,1321,786,30337
20210101,NY,36,990711,25504313,7886,1292,776,30208
20201231,NY,36,974214,25285060,7935,1276,723,30040
20201230,NY,36,957412,25068473,7892,1250,702,29905
20201229,NY,36,943990,24913524,7814,1224,711,29756
20201228,NY,36,932552,24753360,7559,1222,717,29629
20201227,NY,36,922145,24628494,7183,1187,687,29511
20201226,NY,36,914522,24498195,6884,1129,638,29396
20201225,NY,36,903716,24296753,6950,1148,621,29270
20201224,NY,36,891270,24070193,6928,1160,621,29149
20201223,NY,36,878702,23843897,6864,1166,633,29016
20201222,NY,36,866765,23639536,6661,1126,614,28850
20201221,NY,36,857049,23474668,6331,1095,613,28709
20201220,NY,36,848042,23318158,6185,1045,600,28598
20201219,NY,36,838085,23120907,6208,1088,610,28474
20201218,NY,36,828166,22929431,6081,1068,592,28344
20201217,NY,36,815469,22680046,6147,1095,611,28222
20201216,NY,36,804555,22477274,6097,1098,611,28100
20201215,NY,36,794557,22316327,5982,1065,580,28002
20201214,NY,36,784204,22122139,5712,1040,567,27870
20201213,NY,36,775160,21962295,5410,1009,567,27785
20201212,NY,36,764966,21757045,5359,1029,563,27675
20201211,NY,36,753837,21514118,5321,1007,546,27587
20201210,NY,36,743242,21301446,5164,994,539,27498
20201209,NY,36,733064,21104040,4993,952,521,27404
20201208,NY,36,722464,20909445,4835,906,493,27307
20201207,NY,36,713129,20746981,4602,872,464,27232
20201206,NY,36,705827,20594694,4442,850,464,27149
20201205,NY,36,696125,20388862,4318,825,435,27089
